Title,Description,PriceStable,InStock,SellerPincode,CustomerPincode,ShippingDays,PredictedVisibility
Gemron American Diamond Crescent Drop Earrings,"A beautifully crafted Crescent-shaped drop earring set, featuring sparkling American-diamond and cubic-zirconia stones set in a rhodium-plated brass alloy. Each earring is lightweight (<10 g), elegant with a lobster-hook clasp for secure all-day wear. They offer timeless shine suitable for casual, party, or festive occasions. With durable plating and artisan finish, they deliver sparkle and traditional appeal.",0,1,122001,700001,4,Medium
Yellow Chimes Traditional Gold‑Plated Kundan Studded Designer Ethnic Maang Tikka (Crescent),"This elegant crescent-shaped maang tikka is beautifully studded with traditional Kundan stones and crafted from gold-plated alloy. The piece features a delicate bead chain and lobster hook for secure wear. With a lightweight design (~16 g), it offers both comfort and style. Ideal for weddings, festive events, or party wear, this jewellery adds a refined ethnic touch. Nickel and lead-free, it arrives in ready-to-gift packaging.",0,1,600001,110001,5,Medium
"Me-O Adult Cat Food Mackerel, 3 kg","Me-O Mackerel Cat Food is a nutritionally complete and balanced dry food for adult cats. It contains taurine for healthy eyes, calcium and phosphorus for strong bones and teeth, and Omega 3 & 6 for a shiny coat. The food helps prevent bladder stones and supports immune health.",1,1,400001,110001,4,Medium
Let's Bite Active Adult Dog Food 500g,Lets Bite Active Adult dog food is formulated to support strength muscle health and active energy for adult dogs. It contains essential vitamins and minerals and is enriched with proteins to maintain healthy skin and coat. Suitable for all breeds.,1,1,560001,110001,5,Medium
Happilo Premium Turkish Apricots 200g,"Happilo Premium Turkish Apricots are naturally dried rich in antioxidants and contain no added sugar or preservatives. Ideal for healthy snacking they are vacuum packed for freshness and suitable for vegetarians.""",1,1,560001,110001,5,Low
Sotrue Strobe Cream Pink for Face Radiance,"Lightweight dewy-glow strobe/highlighter cream with hydration boost, can be used as primer, highlighter or mixed with foundation. Suitable for all skin types.",1,1,560001,110001,3,Low
Nestasia Leaf-Shaped Ceramic Serving Plate,"Elegant leaf-shaped ceramic serving plate from Nestasia, perfect for snacks, desserts, and modern table settings. Durable and microwave safe.",1,1,700001,110001,3,Low
JUGTE Enchanted Rose Light Gift,"Everlasting enchanted glass rose light in a dome. Romantic LED decor piece perfect for gifting on anniversaries, Valentine’s Day, or birthdays.",1,1,110001,600001,3,Low
Traveller Kids Travel Scrapbook TKWSB,Interactive travel-themed scrapbook kit for kids. Includes fun prompts and creative pages to document journeys and family vacations. Great educational gift.,1,1,500001,400001,2,Low
Floweraura Decorative Chocolate Gift Box,"Floweraura luxury chocolate gift box with assorted chocolates, romantic packaging. Ideal for Valentine’s Day, birthdays, and special occasions.",1,1,122001,560001,3,Medium
Arrow Men’s Striped Casual Shirt,"Light brown striped casual shirt from Arrow, tailored fit with breathable cotton fabric. Ideal for office, weekend, or semi-formal wear.",1,1,700001,122001,3,Medium
VDangi Police Officer Cotton Dress for Kids,"Organic cotton police officer uniform costume for kids. Comfortable, breathable, and ideal for fancy dress or theme parties. Eco-friendly stitching.",1,1,600001,560001,2,Low
Muslin Cotton Swaddler Baby Towel,"Soft and breathable muslin cotton swaddling towel for babies. Made from organic fabric, suitable for newborns and infants. Lightweight and highly absorbent.",1,1,110001,500001,3,Low
Peter England Striped Formal Shirt Grey,"Peter England men's striped formal shirt in elegant grey shade. Classic design with a regular fit, perfect for office and business occasions.",1,1,560001,400001,2,Medium
White Phenyl Disinfectant Concentrate,"High-strength white phenyl floor cleaner concentrate for home, office, and commercial use. Leaves a long-lasting fragrance and kills 99.9% of germs.",1,1,122001,700001,3,Medium
Amazon Presto! Matic Liquid Detergent,Top-load washing machine liquid detergent by Amazon Presto! Tough on stains and gentle on fabric. Fresh fragrance and deep cleaning formula.,1,1,400001,110001,3,Medium
mazon Vedaka Cumin Jeera 200g,"Premium quality cumin (jeera) seeds by Vedaka. Rich aroma and flavor, hygienically packed for everyday Indian cooking needs.",1,1,500001,600001,2,Low
Dettol Disinfectant Cleaner,"Multipurpose disinfectant liquid cleaner by Dettol. Kills 99.9% of germs, ideal for surface disinfection and personal hygiene. Trusted protection and fresh fragrance.",1,1,700001,122001,3,Medium
KIKGERM Expert Matic Front Load Detergent,Front-load compatible liquid detergent by KIKGERM. Offers stain removal and fabric care in one formula. Recommended for high-efficiency washing machines.,1,1,600001,560001,2,Medium
Neo Fermented Cabbage,"Organic fermented cabbage (sauerkraut) rich in probiotics. Supports gut health and digestion. Made with natural ingredients, no preservatives.",1,1,110001,500001,4,Medium
Early Foods Assorted Organic Amaranth Cookies,"Wholesome assorted cookies made from organic amaranth, sweetened with jaggery, and free from refined flour and preservatives. Ideal for toddlers and adults alike.",1,1,400001,700001,5,Medium
Nourish You Flax Seeds 250g,"Nourish You Flax Seeds are 100% natural, rich in Omega-3 fatty acids, dietary fiber, and protein. Ideal for weight management and heart health.",1,1,122001,600001,6,Medium
Himalaya Complete Care Toothpaste,Himalaya Complete Care Toothpaste is enriched with natural ingredients like neem and pomegranate for complete oral protection and healthy gums.,1,1,560034,411001,4,Medium
Bajaj Almond Drops Ultralight Hair Oil,"Bajaj Almond Drops Ultralight Hair Oil is enriched with almond oil and vitamin E, providing nourishment without greasiness for soft, shiny hair.",1,1,110002,400001,3,Medium
Adams Windermere Luxury Talcum Powder,"Adams Windermere Luxury Talcum Powder offers long-lasting freshness and sweat protection with a refreshing fragrance, ideal for daily use.",1,1,600001,500081,2,Medium
Rexona Underarm Roll-On Deodorant,"Rexona Underarm Roll-On offers 48-hour sweat and odour protection, enriched with glycerine for smooth skin and long-lasting freshness.",1,1,110034,302001,2,High
Biotique Bio Neem Purifying Face Wash,"200 ml Ayurvedic cleansing gel enriched with neem, ashwagandha & galangal; soap‑free; purifies pores, gently removes impurities & prevents pimples. Suitable for all skin types.",1,1,560001,110001,3,Low
Godrej 1.5 Ton 3 Star Inverter Split AC,"5-in-1 Convertible Technology, Copper Condenser, Anti-Dust Filter, Energy Efficient with 3 Star BEE Rating, 1 Year Comprehensive Warranty, 10 Years Compressor Warranty",1,1,400001,110001,3,Low
"Apple iPhone 13 (128GB, Blue)",Latest iPhone model with A15 chip,1,1,400001,110001,3,Low
boAt Rockerz 450 Bluetooth Headphones,On-ear headphones with 15H playback,0,1,560001,600001,4,Low
"Samsung Galaxy M14 5G (6GB, 128GB)",5G phone with 6000mAh battery,1,0,122001,700001,6,Low
Philips Beard Trimmer BT1232,Cordless with USB charging,1,1,500001,560001,5,Low
Puma Unisex Running Shoes (Size 9)        Breathable mesh,lightweight        ,0,1,110001,122001,2,Low
Prestige Non-Stick Fry Pan 24cm        Durable coating,gas compatible        1        0        600001        500001        7        Low,1,0,600001,500001,7,Low
"Lenovo Ideapad Slim 3 (i3, 8GB, 512GB SSD)",Lightweight laptop with FHD screen,0,1,700001,400001,6,Low
Binca Fletter - A Strategic Vocabulary Concentration Game,A fast-paced word game that challenges players to form words quickly from a set of letter tiles. Designed for vocabulary building and family entertainment.,1,1,600001,560001,4,Low
Noise ColorFit Pulse Smartwatch,"SpO2 monitor, 10-day battery",1,1,122001,110001,2,Low
ToyMagic TNT Explosion Game | STEM Learning Construction Set for Kids | Educational Toy for Skill Development,"An educational and fun STEM-based construction toy where kids simulate TNT explosions to build and destroy structures, enhancing logic and motor skills.",1,1,400001,700001,5,Low
Toyshine Junior String Hockey Board Game for Kids | Fast Sling Puck Game for Children and Family Fun,"A fun, fast-paced two-player puck slinging board game designed for children to improve focus, coordination, and reaction time. Great for indoor family entertainment.",1,1,500001,122001,3,Medium
Lakme Forever Matte Liquid Lip Colour - Red Carpet,"Lightweight matte liquid lipstick offering intense color payoff and long-lasting wear, ideal for daily and party use.",1,1,700001,400001,4,High
MARS Matte Lipstick - 04 SCANDALOUS | Smooth Application & Long Lasting,"Vibrant matte lipstick with a smooth, velvety texture that delivers bold color in one swipe. Long-wear formula suitable for parties and daily wear.",1,1,560001,122001,3,Medium
Fashion2wear Women's Georgette A-Line Dress - Blue Keri,"Stylish georgette dress with an A-line silhouette designed for effortless fashion. Lightweight, flowy, and perfect for casual or festive occasions.",1,1,600001,110001,4,High
Bollyclues Multicolor Sleeveless Western Dress for Women,Trendy and colorful sleeveless western dress designed for casual outings and summer wear. Made from breathable fabric to ensure comfort and style.,1,1,110001,600001,4,Medium
Aask Women's A-Line Printed Dress,Beautiful printed A-line dress designed for casual and semi-formal occasions. Lightweight fabric with modern styling.,1,1,122001,110001,2,Medium
Varanga Women Beige Shirt Collar Dress,"A stylish beige dress featuring a shirt collar and button-down design. Suitable for workwear or casual outings, made with breathable fabric for all-day comfort.",1,1,500001,400001,3,Low
MAGGI 2-Minute Noodles - 560g | Goodness of Choicest Quality Ingredients,"Classic MAGGI instant noodles loved across households. Made with quality spices and wheat flour. Quick 2-minute preparation, ideal for snacks and meals.",1,1,110001,122001,2,High
India Gate Basmati Rice - Everyday | 5kg Premium Pack,"Long grain basmati rice ideal for everyday cooking. Known for aroma, texture, and quality. Suitable for biryani, pulao, and daily meals.",1,1,700001,560001,3,High
ASIAN Delta-21 Running Shoes for Men | Lightweight & Breathable,Stylish and comfortable running shoes designed for everyday wear and workouts. Features a breathable mesh upper and cushioned sole for maximum comfort.,1,1,600001,700001,4,Low
Campus Tormentor Running Shoes for Men | Stylish & Durable,"High-performance running shoes with breathable upper mesh, cushioned footbed, and grippy outsole. Ideal for sports, gym, and everyday wear.",1,1,122001,110001,3,Low
Gehena Estele Minimalist Necklace | Lightweight & Elegant,"A delicate and elegant necklace crafted with minimalist design. Lightweight, ideal for daily wear or casual occasions. Complements ethnic and western outfits.",1,1,110001,560001,3,High
Shining Diva Fashion Multilayer Necklace for Women | Trendy & Stylish,"Chic multilayer necklace featuring a modern and elegant design. Perfect accessory for parties, college wear, or gifting. Lightweight and skin-friendly.",1,1,400001,122001,3,High
Sterling Pendant Necklace with Rhodium Plating & Zirconia Stones | Elegant & Durable,"A timeless sterling silver pendant necklace, rhodium-plated and embellished with cubic zirconia. Ideal for formal wear, weddings, or premium gifting.",1,1,560001,110001,3,High
Sterling Pendant Necklace with Rhodium Plating & Cubic Zirconia | Sophisticated Design,Refined sterling silver necklace with rhodium plating and brilliant-cut cubic zirconia stones. Elegant choice for formal occasions and gift-giving.,1,1,500001,700001,4,Medium
GROFATIK Aquarius Constellation Adjustable Bracelet | Glow-in-the-Dark Stylish Band,"A unique fluorescent bracelet with zodiac constellation design. Adjustable fit, suitable for casual wear or gifting for astrology lovers.",1,1,600001,122001,5,Low
MEENAKARI HERITAGE JEWELLERY Sterling Rakshabandhan Bracelet | Traditional & Elegant,Raksha Bandhan special bracelet with intricate Meenakari work. Traditional festive accessory designed for cultural gifting and celebration.,1,1,700001,110001,3,High
MEN THING Stainless Steel Bracelet | American Diamond for Men,Elegant stainless steel bracelet with American diamonds. Stylish accessory perfect for modern fashion and gifting.,1,1,700001,110001,4,Medium
HASTHIP® Christmas Countdown Calendar | Taylor Swift Merchandise Ornaments,Festive Christmas countdown calendar featuring Taylor Swift-themed ornaments. A perfect collectible for fans.,1,1,700001,110001,5,Medium
CodersParadise Popular Artist Collage | Taylor Swift Wall Posters,Artistic collage-style wall poster set featuring Taylor Swift. Aesthetic room decor for fans and collectors.,1,1,700001,110001,5,Medium
Godrej Catering Hospitality Vegetables Stainless Steel Chopper,"Godrej Catering Hospitality Stainless Steel Vegetable Chopper is a robust kitchen tool designed for efficient and effortless chopping of vegetables. Crafted with high-quality stainless steel, it offers durability and resistance to rust and corrosion. Ideal for professional chefs and home cooks alike, this chopper speeds up meal preparation while ensuring uniform cuts every time. Its ergonomic design provides a comfortable grip, reducing fatigue during extended use. Easy to clean and maintain, this vegetable chopper is an essential addition to any modern kitchen.",1,1,110001,560001,3,High
TEMPERIA Bottles Liquid Shampoo Sanitizer,"Multi-purpose bottles for shampoo, sanitizer, and liquid storage. Durable and easy to carry.",1,1,110001,560001,4,Low
Milton Thermosteel Deluxe 750 Stainless Steel Bottle,Stainless steel water bottle with vacuum insulation keeping liquids hot or cold for hours. Durable and leak-proof.,1,1,560034,110034,3,High
Crystal Stainless Bottle Opener Multicolour,Multicolour stainless steel bottle opener designed for easy and efficient bottle opening. Compact and durable.,1,1,560034,110034,4,Medium
Gemice Toiletries Squeezable Containers Essentials,Set of flexible squeezable containers perfect for toiletries and travel essentials. Leak-proof and easy to use.,1,1,560034,110034,3,Medium
HARRODS Spray 30ml Bottle Refillable,Elegant 30ml refillable spray bottle perfect for perfumes and liquids. Compact and travel-friendly design with high-quality spray mechanism.,1,1,560034,110034,3,Medium
Bare Anatomy Shampoo Mask Serum Kit,"Complete hair care kit including shampoo, mask, and serum. Enriched with nourishing ingredients for smooth, shiny, and healthy hair. Suitable for all hair types.",1,1,400001,110085,3,High
Aahwan Tiered Ruched Skirt,"White tiered ruched skirt with elastic waistband, offering a stylish and comfortable fit. Ideal for casual wear or semi-formal occasions, pairs well with crop tops or blouses.",1,1,400001,110085,4,Medium
KZULLY Women's Crepe Midi Dress,Midi‑length crepe dress in solid colors with a flattering fit and soft drape. Perfect for casual & semi‑formal occasions.,1,1,600001,110001,4,Medium
Stylum Women's Floral Printed Cotton Flared Maxi Dress,Soft cotton maxi dress with floral prints and breezy flared silhouette. Great for summer & weekend outings.,1,1,400001,560001,4,Medium
Shasmi Women Maxi Gown,Full‑length maxi gown featuring elegant drape and easy care fabric. Ideal for evening wear & gatherings.,1,1,500001,700001,5,Medium
Tokyo Talkies Women's A-Line Dress,"Stylish A-line western dress made from breathable polyester with flared hem and round neck, ideal for daily wear.",1,1,400001,560001,5,Medium
Ziyaa Women's Straight Kurta,"Printed straight kurta made of crepe fabric, offering comfort and elegance for casual and office wear.",1,1,500001,110001,4,Medium
Miss Olive Women's Skinny Fit Jeans,"Mid-rise stretchable skinny jeans in dark wash, offers sleek silhouette and comfort, suitable for daily styling.",1,1,600001,700001,4,Medium
Aahwan Women's Solid Bodycon Mini Dress,"Solid color sleeveless mini dress with a flattering bodycon fit, ideal for casual parties or outings.",1,1,400001,560001,5,Medium
"Realme Narzo 50A Prime (4GB, 64GB)","Powerful battery, slim design",1,1,560001,700001,5,Low
Zebronics Zeb-War Gaming Keyboard + Mouse,Combo with RGB backlight,0,1,110001,400001,3,Low
HUL Pureit Advanced RO Water Purifier,6-stage purification with 5L tank,1,1,500001,600001,4,Low
Wildcraft Backpack 44L,"Water-resistant, multiple compartments",0,1,700001,122001,3,Low
Mi Smart Band 6,"AMOLED display, heart rate monitor",1,0,122001,560001,4,Low
Logitech M331 Silent Wireless Mouse,"Silent clicks, ergonomic design",1,1,400001,700001,5,Low
Cello Opalware Dinner Set (18 Pieces),"Microwave-safe, elegant floral design",0,1,600001,500001,2,Low
Nivea Body Lotion (400ml),Deep moisture serum for dry skin,1,1,110001,400001,1,Low
Canon PIXMA G2020 Printer,"Ink tank system, ideal for home/office",0,0,500001,122001,6,Low
Bajaj 1000W Pop-up Toaster,2-slice toaster with 5 heat settings,1,1,600001,110001,3,Low
Milton Thermosteel Water Bottle (1L),"Hot & cold insulation, stainless steel",1,1,700001,500001,4,Low
Himalaya Face Wash (150ml),Neem face wash for oily skin,0,1,560001,122001,5,Low
Fire-Boltt Ninja 3 Smartwatch,"1.69"" full touch, SpO2, 60 sports modes",1,0,122001,110001,2,Low
Ajanta Wall Clock (White Dial),"Quartz movement, 12-inch classic look",1,1,400001,700001,6,Low
Generic Plastic Storage Box,"Small multipurpose plastic box with lid, suitable for storing clips, pins or screws.",1,1,400001,600001,8,Low
Unbranded Cotton Handkerchief Set,"Basic white handkerchiefs made from thin cotton fabric, comes in a pack of 3.",1,1,500001,700001,7,Low
Home Needs Door Stopper,"Rubber door stopper with average grip, works on smooth floors only, single piece.",1,1,600001,110001,9,Low
Local Brand Cleaning Cloth,"Microfiber cleaning cloth for dry dusting, available in random colors, average size.",1,1,400001,560001,10,Low
NoName Keychain Torch,"Plastic keychain with a small torch, not rechargeable, low brightness.",1,1,700001,400001,8,Low
"Apple iPhone 13 (128GB, Blue)","Experience cutting-edge performance with the Apple iPhone 13, powered by the A15 Bionic chip for lightning-fast processing and efficiency. The 6.1"" Super Retina XDR display offers vibrant colors and contrast for immersive viewing. Dual 12MP cameras with advanced computational photography ensure stunning photos and videos, while 5G support, Ceramic Shield, and IP68 water resistance make it durable and future-ready.",1,1,400001,110001,3,High
boAt Rockerz 450 Bluetooth Headphones,"Enjoy immersive audio on-the-go with boAt Rockerz 450. These ergonomically designed wireless headphones come with 40mm dynamic drivers for deep bass, 15 hours of non-stop playback, and passive noise isolation. Equipped with Bluetooth v5.0, adjustable headband, and voice assistant support, these headphones ensure a seamless audio experience whether you're working, commuting, or chilling.",0,1,560001,600001,4,High
"Samsung Galaxy M14 5G (6GB, 128GB)","Power through your day with the Samsung Galaxy M14 5G. Packed with a massive 6000mAh battery, a 50MP triple camera setup, and a 90Hz FHD+ display, it delivers smooth performance and crisp visuals. Powered by Exynos 1330 and Android 13, this 5G-enabled phone ensures fast downloads and efficient multitasking. Ideal for binge-watchers and power users alike.",1,0,122001,700001,6,High
Philips Beard Trimmer BT1232,"Achieve a clean and sharp look with the Philips BT1232 Beard Trimmer. Featuring self-sharpening stainless steel blades, this USB rechargeable trimmer offers up to 60 minutes of cordless use. It includes multiple length settings, skin-friendly rounded tips, and an ergonomic design—perfect for both detailed styling and everyday grooming.",1,1,500001,560001,5,High
Puma Unisex Running Shoes (Size 9),"Boost your performance with Puma’s Unisex Running Shoes designed for comfort, breathability, and durability. Featuring a mesh upper for ventilation, cushioned EVA midsole for support, and a rubber outsole for better grip, they are perfect for daily runs and fitness routines. Sleek and stylish, they complement both casual and athletic wear.",0,1,110001,122001,2,High
Prestige Non-Stick Fry Pan 24cm,"Cook like a pro with the Prestige Non-Stick Fry Pan. Crafted with superior non-stick coating and durable aluminum body, it ensures even heat distribution and hassle-free cooking. The ergonomic handle stays cool, while its compatibility with gas stoves makes it a versatile addition to any kitchen. Ideal for frying, sautéing, and flipping with ease.",1,0,600001,500001,7,High
"Lenovo Ideapad Slim 3 (i3, 8GB, 512GB SSD)","Tackle your work and entertainment needs effortlessly with the Lenovo Ideapad Slim 3. Featuring an 11th Gen Intel Core i3 processor, 8GB RAM, and a 512GB SSD, it offers quick boot times and efficient multitasking. The 15.6” FHD anti-glare screen, Dolby Audio, and lightweight build make it ideal for students and professionals alike.",0,1,700001,400001,6,High
Noise ColorFit Pulse Smartwatch,"Stay connected and track your fitness with the Noise ColorFit Pulse Smartwatch. Featuring a vibrant color display, real-time heart rate monitoring, SpO2 tracking, sleep analysis, and multiple sports modes, it’s designed to keep you motivated throughout the day. With seamless smartphone notifications, music control, and up to 7 days of battery life, this lightweight and stylish smartwatch is your perfect fitness companion.",1,1,122001,110001,2,High
"Realme Narzo 50A Prime (4GB, 64GB)","The Realme Narzo 50A Prime is crafted for the modern user—featuring a sleek design, Unisoc processor, 50MP AI triple camera, and 5000mAh battery with ultra-saving mode. Its 6.6” FHD+ display delivers vibrant visuals, making it ideal for gaming, photography, and streaming. A budget-friendly performer built for everyday power.",1,1,560001,700001,5,High
Zebronics Zeb-War Gaming Keyboard + Mouse,"Dominate your game with the Zebronics Zeb-War gaming combo. Includes a full-size wired keyboard with rainbow RGB backlighting and a high-precision ergonomic mouse with 4 DPI settings. Designed for intense gameplay with anti-ghosting keys, USB plug-and-play functionality, and a stylish build that elevates your gaming setup.",0,1,110001,400001,3,High
HUL Pureit Advanced RO Water Purifier,"Drink safe, clean water every day with the HUL Pureit Advanced RO Water Purifier. With a 6-stage purification system, 5L storage tank, and a mineral cartridge for taste enhancement, it ensures safe drinking water free of viruses and bacteria. Compact and stylish, it's ideal for modern kitchens and small families.",1,1,500001,600001,4,High
Wildcraft Backpack 44L,"Built for travelers, students, and professionals, the Wildcraft 44L backpack is water-resistant, spacious, and has multiple compartments for easy organization. With padded back support and adjustable shoulder straps, it offers comfort for long hours. Suitable for laptops, books, and travel gea",0,1,700001,122001,3,High
Mi Smart Band 6,"Track your health like a pro with the Mi Smart Band 6. Featuring a 1.56” AMOLED display, 30 fitness modes, continuous SpO2 and heart rate monitoring, sleep tracking, and up to 14 days of battery life, it's perfect for fitness lovers. Water-resistant and smartphone compatible with alerts and controls.",1,0,122001,560001,4,High
Logitech M331 Silent Wireless Mouse,"Enhance your productivity with Logitech M331, featuring silent click technology, ergonomic design, and a 24-month battery life. Its compact, contoured shape offers comfortable navigation, while the advanced optical tracking ensures smooth performance across surfaces. Ideal for office and home use.",1,1,400001,700001,5,High
Cello Opalware Dinner Set (18 Pieces),"Add elegance to your dining table with Cello’s 18-piece Opalware dinner set. Microwave-safe and chip-resistant, these white floral plates and bowls offer durability and charm. Lightweight, hygienic, and perfect for everyday meals or festive occasions.",0,1,600001,500001,2,High
Nivea Body Lotion (400ml),"Keep your skin deeply nourished with Nivea’s Body Lotion enriched with Deep Moisture Serum and almond oil. Designed for dry to very dry skin, it provides up to 48 hours of hydration and absorbs quickly without greasiness. Dermatologically tested and suitable for daily use.",1,1,110001,400001,1,High
Canon PIXMA G2020 Printer,"The Canon PIXMA G2020 is a multifunctional ink tank printer perfect for home and small office use. It features high page yields, low-cost printing, and supports copy and scan functions. With easy refillable ink tanks and reliable performance, it's ideal for bulk printing tasks.",0,0,500001,122001,6,High
Bajaj 1000W Pop-up Toaster,"Start your mornings right with Bajaj’s 2-slice 1000W toaster. With 5 adjustable browning levels, mid-cycle cancel function, and a removable crumb tray, this compact toaster ensures crisp, even toasting and easy maintenance. A staple appliance for every kitchen",1,1,600001,110001,3,High
Milton Thermosteel Water Bottle (1L),"Milton Thermosteel Water Bottle (1L) is a premium quality stainless steel bottle designed to keep your beverages hot or cold for hours. Made from high-grade 18/8 stainless steel, it ensures durability and rust resistance. The leak-proof cap and ergonomic design make it perfect for everyday use, whether at work, gym, or travel. Its sleek and stylish finish adds to the convenience, making hydration effortless and eco-friendly. Easy to clean and BPA-free, this bottle is an ideal companion for your active lifestyle.",1,1,700001,500001,4,High
Himalaya Face Wash (150ml),"Himalaya Face Wash (150ml) gently cleanses your skin, removing dirt, oil, and impurities without stripping natural moisture. Enriched with natural ingredients like neem and turmeric, it helps combat acne and gives you a fresh, clear complexion. Suitable for all skin types, this face wash provides a refreshing and soothing experience every time you use it. Dermatologically tested and free from harsh chemicals, it’s your daily skincare essential for healthy, glowing skin.",0,1,560001,122001,5,High
Fire-Boltt Ninja 3 Smartwatch,"Fire-Boltt Ninja 3 Smartwatch is packed with features including a large HD display, real-time health monitoring, multiple sports modes, and customizable watch faces. With its long-lasting battery life and waterproof design, it’s perfect for fitness enthusiasts and daily wear. Stay connected with call and message notifications right on your wrist, and enjoy seamless Bluetooth connectivity with your smartphone. The Ninja 3 combines style and technology to keep you active and informed all day.",1,0,122001,110001,2,High
Ajanta Wall Clock (White Dial),"Ajanta Wall Clock with a sleek white dial combines elegance and functionality to enhance your home or office decor. Featuring clear, easy-to-read numerals and a silent sweeping movement, this clock ensures accurate timekeeping without any ticking noise. Durable and stylish, it fits perfectly in any room, adding a touch of sophistication and reliability to your everyday routine.",1,1,400001,700001,6,High
"Wireless Charging Pad – Qi Certified, 10W, Universal",Compact Qi-certified pad with overheat protection and fast charge support. Compatible with all Qi-enabled phones.,1,1,400001,110001,3,Medium
"Adjustable Laptop Stand – Aluminum, Foldable, Portable",Sturdy aluminum stand with 6-angle adjustment and foldable design. Improves posture and cooling.,1,1,560001,600001,4,Medium
"Reusable Grocery Bags – Heavy Duty, Set of 5","Washable, foldable tote bags with reinforced handles. Ideal for weekly shopping or produce.",1,1,122001,700001,4,Medium
"Stainless Steel Water Bottle – 750ml, Leak-Proof",Double-wall stainless steel bottle with insulation for hot/cold drinks. Leak-proof lid included.,1,1,500001,560001,3,Medium
"Digital Kitchen Scale – LCD Display, 10kg Capacity",Precise digital scale with tare function and easy-to-read backlit display. Battery included.,0,1,110001,122001,5,Medium
"Bluetooth Shower Speaker – Waterproof, Suction Cup","IPX7 speaker with strong suction cup, 6‑hour playback, and built‑in mic for calls.",1,1,600001,500001,3,Medium
"Memory Foam Pillow – Orthopedic, Standard Size",Ergonomic memory foam pillow that supports neck alignment and reduces snoring. Washable cover.,1,1,700001,400001,4,Medium
"Yoga Block Set – EVA Foam, 2-Pack",Lightweight EVA foam blocks for yoga and stretching. Non-slip surface. Durable and portable.,1,1,122001,110001,4,Medium
"Non-Stick Frying Pan – 24cm, Induction Compatible","Scratch-resistant non-stick pan with cool-touch handle, suitable for induction and gas stoves.",1,0,560001,700001,7,Medium
